Time,M_base,M_50,M_100,M_150,M_200,Y_base,Y_50,Y_100,Y_150,Y_200
55.0,101.78917155838535,98.72337300570942,104.7025767302116,108.04727106929128,110.73532729803328,101.77917817776917,98.4008477324609,104.39601365513214,107.82786505292638,110.49170561852557
60.0,104.49298865404471,99.85628222383082,108.12018282694603,112.44677648960081,115.37908929171196,104.5905954075213,99.78526891262916,107.88527747658644,112.20862241029373,115.22395152360723
65.0,108.56422282775586,100.26101502459042,111.63253800651283,117.2596064048064,120.8721299063764,108.8420497936968,100.466956253694,111.83410042308897,117.50325620154916,121.0401742550341
70.0,110.06585447091244,98.91814377420489,111.56392048788581,118.95407077976311,123.56331458780043,110.27214887007216,99.09609559148397,111.75704511534381,119.13010052499598,123.7278722296005
75.0,109.12985967779697,96.43366941220192,109.1003309656796,117.73499158026891,123.28370478446395,109.48599946991229,96.66996026743749,109.37040794463812,118.01599228765662,123.52440510416821
80.0,109.52301121098525,96.34740551989593,111.28327791033954,122.17100176946491,129.73621326457695,110.01062886048925,96.65102891017423,111.76441419664344,122.72503707358543,130.29357594717396
85.0,110.0674757441164,96.39864239158568,112.25607904646634,124.52895909498552,133.8247424381242,110.28137193120504,96.43328416255171,112.36982857558532,124.65002815322447,133.85445835037032
90.0,111.00352091143154,96.5606262232747,112.31809936171216,124.12641807293967,132.99795387191318,111.02497622983509,96.52487500963949,112.34232534031062,124.24866120141135,133.0624259315585
95.0,112.9125217539887,97.60691304898567,113.41341673773877,124.73962301216937,133.15672119400773,113.01962427137111,97.64794557488041,113.53509660324205,124.9274184638582,133.48607051996925
100.0,117.28518487968313,100.22636854700914,117.65370640351168,129.83496371029383,139.49128388573592,117.37761430475096,100.37575056524264,117.86724826167548,130.157690456031,139.87307412512652
105.0,117.67931292136942,99.47404222227152,118.54789779604104,132.3010629283018,142.86491010692532,117.71377295038576,99.52427079918805,118.66173470279561,132.5902814748236,143.24643365034996
110.0,117.93688619988653,98.58390191557294,118.52080890658299,133.3983452792874,145.13687297266998,117.9894704279287,98.65400750065244,118.6122562076889,133.57030851004103,145.42469981585833
115.0,119.47472381945549,97.17448047540948,117.71224421813166,133.0206617851504,145.13083556305,119.48561435781956,97.26553961907075,117.74459383747666,133.09573721239906,145.27099204231916
120.0,123.40162112960911,96.54762180550031,117.65817586982983,133.32889767960097,145.79510094004075,123.47682174020802,96.81202240238208,117.84752968793143,133.54436131254943,146.0214294373622
125.0,120.67713643740271,94.99271859629442,116.60375996628015,132.8950597603352,145.62922479424512,120.88514066382461,95.30528328977084,116.83962621262218,133.1115153364401,145.82068777093812
130.0,114.69926896352044,92.68601010096381,114.45597033189718,130.89564472875188,143.64350156247255,114.95124187134392,92.97693944352751,114.70020317339157,131.15851945954572,143.9400857140734
135.0,110.38721979799507,91.78180046844875,113.83965839100084,130.49986449783543,143.35231975930617,110.87319330630854,92.1389625543392,114.2174474400466,130.8951736300218,143.72810497049596
140.0,105.95309352671694,90.31494833211643,112.68892295049801,129.4826994754377,142.7993747434095,106.7461281409486,90.70671178358634,113.09051103169028,129.9170827595866,143.2499708435704
145.0,103.46798137583082,88.00357410719555,110.95170585243935,128.04770431036775,141.60929552560273,104.0321403670485,88.19602480052349,111.10285120662046,128.19860420480893,141.74849285338837
150.0,99.32816614721843,85.79546362038572,109.50498980845423,126.88184062501301,140.91064562292706,99.37857904174574,85.70329934748324,109.41579814667024,126.85515739704762,140.95724264808237
155.0,96.16008613769304,84.49110644033969,107.69355067850786,124.5844024613309,138.2643828687559,95.66949894045571,83.8469651157025,106.9472367895984,123.864794625621,137.53522745260972
160.0,94.95936725328424,83.34068679007885,106.33099156104926,123.02498925423042,136.52290196669102,94.39547547540167,82.81405657226261,105.61890368211158,122.3008608629733,135.77786125340631
165.0,96.33282525560676,83.99182711691034,106.9995768192233,123.52868658989041,137.03233081463094,95.76364901159361,83.48441447819798,106.25941229961747,122.76389168354477,136.252716910316
